name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought
Karan Sharma,21,Female,BSc IT,1st Year,58.32,7.38,7.33,8.21,6.3,6.37,0.0,Occasionally,0
Rohan Mishra,21,Male,BA,2nd Year,46.3,7.03,6.49,6.36,6.86,7.27,2.0,Regularly,0
Vivaan Gupta,22,Male,BSc IT,3rd Year,,7.45,6.28,,6.28,9.22,0.0,Regularly,0
Aisha Saxena,18,Female,BSc IT,2nd Year,74.92,7.99,5.53,7.25,4.65,5.41,5.0,Rarely,1
Aarav Singh,21,Female,BCom,2nd Year,18.0,6.64,5.23,6.14,6.45,8.27,0.0,Occasionally,0
Meera Reddy,22,Male,BSc CS,2nd Year,3.0,6.19,7.73,8.24,8.12,5.99,2.0,Regularly,0
Pooja Nair,22,Female,BSc CS,3rd Year,87.19,8.63,6.91,8.2,7.43,6.23,2.0,Never,1
Karan Iyer,19,Male,BA,2nd Year,,7.1,6.64,7.11,4.61,6.74,1.0,Rarely,0
Aisha Saxena,21,Male,BSc CS,3rd Year,77.04,7.73,7.85,7.43,5.24,8.07,0.0,Occasionally,0
Yash Gupta,21,Male,BSc CS,2nd Year,71.57,7.12,8.16,,6.61,6.53,2.0,Rarely,0
Anjali Khan,20,Female,BSc IT,2nd Year,53.77,6.5,6.59,6.04,6.81,7.48,1.0,Rarely,0
Meera Mishra,21,Female,BSc CS,3rd Year,73.88,7.98,5.73,6.09,7.55,6.92,0.0,Occasionally,0
Kavya Singh,18,Female,BBA,2nd Year,96.5,8.28,4.0,8.78,9.59,,0.0,Occasionally,0
Tanvi Verma,22,Male,BSc CS,2nd Year,64.98,8.69,8.67,5.94,7.09,6.41,0.0,Never,1
Siddharth Gupta,22,Male,BA,3rd Year,68.75,8.03,7.86,5.86,6.36,8.32,0.0,Rarely,0
Meera Khan,19,Female,BBA,3rd Year,84.26,7.58,8.11,,7.81,,0.0,Never,0
Diya Malhotra,19,Male,BSc IT,3rd Year,75.2,7.45,7.08,,6.82,7.22,0.0,Rarely,0
Neha Pandey,21,Female,BCom,1st Year,82.08,7.3,7.42,6.18,7.28,7.35,0.0,Occasionally,0
Akash Gupta,19,Male,BSc CS,1st Year,31.81,1.972561210301189,6.99,6.54,6.44,,2.0,Occasionally,0
Neha Tiwari,22,Male,BBA,2nd Year,,8.09,6.96,4.68,5.98,8.64,1.0,Never,0
Rahul Agarwal,20,Male,BSc CS,3rd Year,97.2,7.48,4.86,6.71,7.39,7.61,1.0,Rarely,0
Nisha Patel,21,Female,BBA,1st Year,98.2,6.46,7.93,8.25,6.59,,,Never,0
Aarav Jain,19,Female,BA,1st Year,,5.63,7.43,7.67,8.3,,0.0,Regularly,0
Manav Khan,20,Male,BSc IT,2nd Year,65.94,7.79,5.28,5.58,7.59,6.8,,Occasionally,0
Aarav Tiwari,20,Female,BBA,1st Year,57.71,5.2,7.2,5.97,6.95,6.36,1.0,Regularly,0
Simran Chopra,21,Male,BSc CS,1st Year,76.2,4.61,7.51,6.35,7.93,6.94,1.0,Regularly,0
Ishaan Jain,20,Female,BSc CS,3rd Year,95.45,7.99,7.02,7.53,8.26,6.25,0.0,Occasionally,0
Ananya Mishra,22,Female,BA,1st Year,73.28,0.35616965597104255,6.19,5.14,6.59,7.22,1.0,Rarely,0
Neha Kapoor,22,Male,BCom,2nd Year,8.0,9.21,6.12,5.46,6.72,,0.0,Rarely,0
Shreya Bansal,18,Female,BSc CS,1st Year,59.63,9.54,6.4,6.61,7.63,10.0,4.0,Occasionally,1
Arjun Reddy,20,Male,BA,3rd Year,84.12,0.6045154111149522,5.76,7.25,7.58,7.56,2.0,Occasionally,0
Riya Sharma,21,Male,BSc CS,1st Year,61.98,7.34,6.25,6.75,6.41,6.29,0.0,Regularly,0
Aditya Reddy,22,Male,BA,1st Year,82.94,6.78,6.89,6.39,7.06,7.59,1.0,Rarely,0
Akash Kapoor,21,Male,BA,3rd Year,7.0,8.53,6.29,7.66,6.76,6.74,2.0,Never,0
Kavya Shah,18,Female,BSc IT,1st Year,70.11,10.0,5.15,5.99,7.47,6.85,1.0,Regularly,0
Neha Nair,22,Female,BBA,2nd Year,74.79,0.9307179534231618,,8.39,7.95,7.75,0.0,Regularly,0
Rohan Verma,19,Female,BCom,1st Year,100.0,7.49,7.11,7.1,6.69,8.42,0.0,Occasionally,0
Aisha Kapoor,19,Female,BSc IT,2nd Year,71.49,8.39,6.43,6.2,8.63,4.56,,Occasionally,0
Siddharth Kulkarni,20,Male,BSc CS,2nd Year,66.39,5.21,8.91,,7.78,7.64,2.0,Regularly,0
Krishna Khan,18,Male,BSc CS,1st Year,38.11,6.59,7.55,7.08,8.18,7.57,1.0,Occasionally,0
Harsh Shah,18,Female,BSc IT,2nd Year,93.01,9.18,6.87,8.17,5.26,7.94,0.0,Regularly,0
Priya Iyer,19,Male,BBA,2nd Year,67.11,6.04,5.39,6.61,5.01,9.07,0.0,Never,0
Yash Desai,22,Female,BSc IT,1st Year,55.2,9.2,8.42,6.44,4.94,,3.0,Rarely,0
Meera Verma,21,Male,BCom,1st Year,66.01,7.01,7.06,,7.75,5.72,2.0,Regularly,0
